,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
20,ankitaghadi,New York University,Information Systems,Spring 2017 ,Applied,311,TOEFL,96,68%,18 months
22,Rhea Rai,New York University,Information Systems,Fall 2019 ,Admit,N.A. ,TOEFL,80,73%,6 months
23,RohitN,New York University,Information Systems,Fall 2017 ,Admit,311,TOEFL,107,52%,35 months
24,ShashankTops,New York University,Information Systems,Fall 2018 ,Admit,323,TOEFL,107,7.1 CGPA ,44 months
25,pshreya,New York University,Information Systems,Fall 2018 ,Admit,312,TOEFL,104,7.61 CGPA ,20 months
26,Anks89,New York University,Information Systems,Fall 2018 ,Admit,313,TOEFL,0,8.03 CGPA ,60 months
27,shubhm,New York University,Information Systems,Fall 2018 ,Admit,307,TOEFL,0,74%,15 months
28,anandaltekar,New York University,Information Systems,Fall 2018 ,Admit,320,TOEFL,107,69%,60 months
29,satya0721,New York University,Information Systems,Fall 2019 ,Admit,316,TOEFL,113,7.86 CGPA ,36 months
30,aah,New York University,Information Systems,Fall 2018 ,Admit,320,ENG TEST,NA ,8 CGPA ,NA
31,Nidhi777 ,New York University,Information Systems,Fall 2018 ,Admit,310,TOEFL,103,70%,88 months
32,umangsuhalka,New York University,Information Systems,Fall 2018 ,Admit,330,TOEFL,0,65%,24 months
33,mohitghodake,New York University,Information Systems,Fall 2018 ,Admit,311,TOEFL,98,7.31 CGPA ,25 months
34,MayureshRM,New York University,Information Systems,Fall 2018 ,Admit,318,TOEFL,0,73.50%,33 months
35,sajan bang,New York University,Information Systems,Fall 2018 ,Admit,304,TOEFL,92,7.2 CGPA ,16 months
36,preetish7,New York University,Information Systems,Fall 2018 ,Admit,311,TOEFL,97,7.7 CGPA ,35 months
37,Ankeet1406,New York University,Information Systems,Fall 2018 ,Admit,326,TOEFL,111,60.10%,42 months
38,Sanchsabharwal,New York University,Information Systems,Fall 2018 ,Admit,308,TOEFL,100,9.23 CGPA ,26 months
39,Himanshi22,New York University,Information Systems,Fall 2018 ,Admit,314,TOEFL,100,76%,41 months
40,saiyogesh,New York University,Information Systems,Fall 2018 ,Admit,320,TOEFL,113,7.9 CGPA ,17 months
41,wonderMIS,New York University,Information Systems,Fall 2018 ,Admit,320,TOEFL,100,90%,34 months
43,niteshnm,New York University,Information Systems,Fall 2018 ,Reject,310,TOEFL,115,71.50%,48 months
44,Shweth94,New York University,Information Systems,Fall 2018 ,Reject,310,TOEFL,90,71%,6 months
45,Rawlani,New York University,Information Systems,Fall 2018 ,Reject,312,TOEFL,91,7.8 CGPA ,14 months
46,shruti1735,New York University,Information Systems,Fall 2018 ,Reject,320,TOEFL,0,7.54 CGPA ,7 months
47,Sandyyy,New York University,Information Systems,Fall 2018 ,Reject,305,ENG TEST,NA ,8.5 CGPA ,6 months
48,ATATAT,New York University,Information Systems,Fall 2018 ,Reject,N.A. ,TOEFL,103,8.5 CGPA ,1 month
49,pateljay134,New York University,Information Systems,Spring 2018 ,Reject,310,TOEFL,95,8 CGPA ,NA
50,adityajagitani,New York University,Information Systems,Fall 2012 ,Reject,316,TOEFL,100,62.30%,NA
51,Ashish95arora,New York University,Information Systems,Fall 2017 ,Reject,321,TOEFL,104,8.54 CGPA ,10 months
52,Proshonjit,New York University,Information Systems,Fall 2017 ,Reject,313,TOEFL,112,55%,43 months
53,khushi26,New York University,Information Systems,Fall 2017 ,Reject,316,TOEFL,102,6.7 CGPA ,9 months
54,shraddhasubhedar,New York University,Information Systems,Fall 2016 ,Reject,320,TOEFL,113,8.14 CGPA ,NA
55,praveendhn,New York University,Information Systems,Fall 2016 ,Reject,307,TOEFL,98,6.49 CGPA ,30 months
56,pag0220,New York University,Information Systems,Fall 2016 ,Reject,306,TOEFL,103,63%,20 months
57,vivekj,New York University,Information Systems,Fall 2015 ,Reject,320,TOEFL,108,66%,NA
58,josemorinho8,New York University,Information Systems,Fall 2015 ,Reject,315,TOEFL,109,7 CGPA ,20 months
59,ut0501,New York University,Information Systems,Fall 2015 ,Reject,321,TOEFL,113,7 CGPA ,12 months
60,sagarbotta.stupidsid,New York University,Information Systems,Fall 2014 ,Reject,302,TOEFL,98,7.66 CGPA ,30 months
61,siddarth.stupidsid,New York University,Information Systems,Fall 2014 ,Reject,315,TOEFL,109,70.06%,10 months
63,BrianPeterson,New York University,Information Systems,Fall 2019 ,Interested,325,ENG TEST,NA ,70%,2 months
64,vivekku9944,New York University,Information Systems,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
65,vivek saroj,New York University,Information Systems,Fall 2020 ,Interested,N.A. ,ENG TEST,NA ,9.002 CGPA ,NA
66,aviralpushkarna,New York University,Information Systems,Fall 2019 ,Interested,318,ENG TEST,NA ,7.71 CGPA ,NA
67,hjkkjg,New York University,Information Systems,Fall 2019 ,Interested,318,ENG TEST,NA ,8 CGPA ,6 months
68,Nand01,New York University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8 CGPA ,NA
69,bhuvana chandra,New York University,Information Systems,Spring 2019 ,Interested,298,IELTS,6.5,7.7 CGPA ,NA
70,lokesh2334,New York University,Information Systems,Spring 2019 ,Interested,295,TOEFL,93,54%,41 months
71,sidd1694,New York University,Information Systems,Spring 2019 ,Interested,316,IELTS,7.5,69.50%,28 months
72,vaibhav7117,New York University,Information Systems,Fall 2019 ,Interested,292,TOEFL,77,6 CGPA ,10 months
73,Violet,New York University,Information Systems,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,68.50%,11 months
74,GokuCr7,New York University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,52%,NA
75,pranavtiwari,New York University,Information Systems,Fall 2019 ,Interested,319,TOEFL,100,62.47%,12 months
76,saimsh,New York University,Information Systems,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.11 CGPA ,8 months
77,MAITRE,New York University,Information Systems,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,7 CGPA ,NA
78,diviraj,New York University,Information Systems,Spring 2019 ,Interested,303,TOEFL,103,9 CGPA ,2 months
79,hitesharsenalpatel,New York University,Information Systems,Fall 2018 ,Interested,311,IELTS,7,58.71%,30 months
80,Devina001,New York University,Information Systems,Fall 2018 ,Interested,N.A. ,TOEFL,103,73.40%,40 months
81,advait.deshmukh,New York University,Information Systems,Fall 2018 ,Interested,321,TOEFL,105,7.1 CGPA ,1 month
82,Raveesh94,New York University,Information Systems,Fall 2019 ,Interested,320,ENG TEST,NA ,7.69 CGPA ,7 months
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,bpriya,Pennsylvania State University,Information Science,Fall 2018 ,Applied,315,TOEFL,102,8.2 CGPA ,16 months
2,sarafaman53,Pennsylvania State University,Information Science,Fall 2017 ,Applied,312,TOEFL,96,8.6 CGPA ,15 months
4,praneethbaru,Pennsylvania State University,Information Science,Fall 2018 ,Admit,313,TOEFL,0,87%,12 months
5,Khadutz95,Pennsylvania State University,Information Science,Fall 2018 ,Admit,316,TOEFL,117,9.1 CGPA ,4 months
6,samarth7,Pennsylvania State University,Information Science,Fall 2018 ,Admit,327,TOEFL,112,7.7 CGPA ,32 months
7,nishakk,Pennsylvania State University,Information Science,Fall 2017 ,Admit,315,TOEFL,100,8.31 CGPA ,19 months
8,Apara,Pennsylvania State University,Information Science,Fall 2017 ,Admit,316,TOEFL,109,71.40%,20 months
9,Shauryr,Pennsylvania State University,Information Science,Fall 2017 ,Admit,324,TOEFL,100,6.96 CGPA ,25 months
10,Ishaani,Pennsylvania State University,Information Science,Fall 2017 ,Admit,325,TOEFL,108,76.60%,24 months
11,vihabidre,Pennsylvania State University,Information Science,Fall 2017 ,Admit,305,TOEFL,107,8.44 CGPA ,20 months
12,pratik151192,Pennsylvania State University,Information Science,Fall 2016 ,Admit,317,TOEFL,110,9.12 CGPA ,24 months
13,sachin1994bapu,Pennsylvania State University,Information Science,Fall 2016 ,Admit,318,TOEFL,105,78.58%,NA
15,josephnp732,Pennsylvania State University,Information Science,Fall 2018 ,Reject,307,TOEFL,0,77.34%,1 month
16,Sudarshan 1,Pennsylvania State University,Information Science,Fall 2017 ,Reject,313,TOEFL,100,80.45%,32 months
18,Jigar Desai,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.2 CGPA ,NA
19,himaalayan,Pennsylvania State University,Information Science,Spring 2019 ,Interested,321,IELTS,7,7.35 CGPA ,36 months
20,akansh-jaiswal,Pennsylvania State University,Information Science,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,75%,6 months
21,praths6,Pennsylvania State University,Information Science,Fall 2019 ,Interested,313,ENG TEST,NA ,65%,22 months
22,Chandramaarray,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,70%,13 months
23,AshNair,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,60%,25 months
24,jeel,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.5 CGPA ,NA
25,prabhu12456,Pennsylvania State University,Information Science,Spring 2019 ,Interested,312,TOEFL,109,7.2 CGPA ,33 months
26,akshayram96,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.2 CGPA ,NA
27,PriyaV3,Pennsylvania State University,Information Science,Spring 2019 ,Interested,313,ENG TEST,NA ,78.87%,17 months
28,apurwa4,Pennsylvania State University,Information Science,Spring 2019 ,Interested,299,ENG TEST,NA ,76.40%,29 months
29,AshaMohan,Pennsylvania State University,Information Science,Spring 2019 ,Interested,284,ENG TEST,NA ,6.54 CGPA ,39 months
30,Aravindj1994,Pennsylvania State University,Information Science,Spring 2019 ,Interested,N.A. ,IELTS,7,7.93 CGPA ,17 months
31,Anuj1141,Pennsylvania State University,Information Science,Fall 2018 ,Interested,318,TOEFL,0,7.4 CGPA ,34 months
32,iamrv17,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,54%,22 months
33,Chandrika,Pennsylvania State University,Information Science,Fall 2018 ,Interested,316,TOEFL,92,84.82%,NA
34,Sandeep890,Pennsylvania State University,Information Science,Fall 2019 ,Interested,328,TOEFL,104,8.1 CGPA ,12 months
35,Tanu95,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.51 CGPA ,8 months
36,namrta11,Pennsylvania State University,Information Science,Spring 2018 ,Interested,N.A. ,ENG TEST,NA ,8.5 CGPA ,15 months
37,ravindra123,Pennsylvania State University,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.11 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,bhumiii3,Rochester Institute of Technology,Information Science,Fall 2018 ,Applied,297,TOEFL,98,6.08 CGPA ,NA
2,abhi2503,Rochester Institute of Technology,Information Science,Fall 2018 ,Applied,311,IELTS,0,7.04 CGPA ,NA
3,nav1432,Rochester Institute of Technology,Information Science,Spring 2018 ,Applied,300,IELTS,7,6.62 CGPA ,54 months
4,Prerak92,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,295,TOEFL,97,6 CGPA ,NA
5,Anindhiya,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,306,TOEFL,104,7.88 CGPA ,NA
6,hiteshvanjara,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,303,TOEFL,88,58%,44 months
7,munna463,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,306,TOEFL,94,72.90%,12 months
8,henilmaniar93,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,310,TOEFL,91,64%,6 months
9,eljoba,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,295,TOEFL,98,58%,42 months
10,priya11091,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,295,TOEFL,85,57.50%,14 months
11,yugigaur,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,289,TOEFL,75,63%,39 months
12,Monika,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,305,TOEFL,90,8.09 CGPA ,24 months
13,shaan1310,Rochester Institute of Technology,Information Science,Fall 2015 ,Applied,303,IELTS,7.5,56%,20 months
14,sonaligc,Rochester Institute of Technology,Information Science,Fall 2015 ,Applied,307,TOEFL,88,7 CGPA ,NA
15,aashay28,Rochester Institute of Technology,Information Science,Spring 2016 ,Applied,301,TOEFL,99,66%,30 months
16,vikrant6,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,305,TOEFL,103,69%,10 months
17,thegauravk,Rochester Institute of Technology,Information Science,Spring 2017 ,Applied,301,TOEFL,93,62%,NA
18,sahni,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,302,ENG TEST,NA ,75.50%,NA
19,sacharan,Rochester Institute of Technology,Information Science,Spring 2016 ,Applied,290,TOEFL,80,6 CGPA ,NA
20,shikha28,Rochester Institute of Technology,Information Science,Fall 2016 ,Applied,304,TOEFL,90,6 CGPA ,30 months
22,Sashank1005,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,306,TOEFL,104,80.22%,20 months
23,Suraj Nair,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,311,TOEFL,102,62.80%,27 months
24,Yashdhawan,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,299,TOEFL,85,58.50%,24 months
25,frey_b,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,300,TOEFL,103,9 CGPA ,30 months
26,Sagerion,Rochester Institute of Technology,Information Science,Fall 2018 ,Admit,317,TOEFL,105,6.76 CGPA ,12 months
27,thakkarmayur1989,Rochester Institute of Technology,Information Science,Fall 2017 ,Admit,299,TOEFL,93,66%,48 months
28,rishi.nandedkar93,Rochester Institute of Technology,Information Science,Fall 2017 ,Admit,304,TOEFL,100,63%,NA
29,Samywad91,Rochester Institute of Technology,Information Science,Fall 2017 ,Admit,301,TOEFL,85,62%,37 months
30,chris24,Rochester Institute of Technology,Information Science,Spring 2017 ,Admit,312,TOEFL,103,80%,36 months
31,nehamchangappa,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,302,TOEFL,98,7.7 CGPA ,NA
32,nainapali,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,301,TOEFL,89,7.24 CGPA ,3 months
33,mvamsinadha,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,307,TOEFL,102,61%,28 months
34,vineetpalan,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,297,TOEFL,94,69.80%,30 months
35,saurabhbandawar1atgmail.com,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,300,IELTS,6.5,58.79%,26 months
36,amol_shandilya,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,305,TOEFL,104,7 CGPA ,6 months
37,sikharani,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,302,TOEFL,101,64%,18 months
38,jsriram7,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,309,TOEFL,104,7.3 CGPA ,30 months
39,greatfall16,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,303,TOEFL,88,59%,1 month
40,akhifall16,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,305,IELTS,7.5,8 CGPA ,6 months
41,sameerkumar89,Rochester Institute of Technology,Information Science,Fall 2016 ,Admit,300,TOEFL,98,7.18 CGPA ,54 months
43,Hemantha ,Rochester Institute of Technology,Information Science,Fall 2018 ,Reject,328,TOEFL,104,6 CGPA ,18 months
44,pratha95,Rochester Institute of Technology,Information Science,Fall 2017 ,Reject,305,TOEFL,95,7 CGPA ,1 month
45,Mansi96,Rochester Institute of Technology,Information Science,Spring 2018 ,Reject,293,TOEFL,96,7.58 CGPA ,5 months
46,Saurabh23,Rochester Institute of Technology,Information Science,Spring 2017 ,Reject,304,TOEFL,95,6.1 CGPA ,NA
47,Surendar,Rochester Institute of Technology,Information Science, Fall 2016 ,Reject,294,TOEFL,96,8.9 CGPA ,40 months
48,nainishah2092,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,297,TOEFL,92,56.68%,24 months
49,Aditya007,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,302,TOEFL,93,74%,24 months
50,dhwanils,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,312,TOEFL,107,53%,11 months
51,jayesh522,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,294,TOEFL,88,62%,31 months
52,pratt23,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,297,TOEFL,86,62.20%,32 months
53,sayan1143,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,307,TOEFL,93,6.76 CGPA ,3 months
54,Meehir,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,302,TOEFL,85,58%,18 months
55,gaily,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,318,TOEFL,101,8.3 CGPA ,3 months
56,charith27990,Rochester Institute of Technology,Information Science,Fall 2016 ,Reject,304,ENG TEST,NA ,61%,36 months
57,sahityashetty19,Rochester Institute of Technology,Information Science,Fall 2015 ,Reject,304,TOEFL,97,61%,NA
59,lpriya,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,64.50%,NA
60,ashish.singh712,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
61,Prachi-Jain,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,316,ENG TEST,NA ,7.8 CGPA ,37 months
62,kewalc,Rochester Institute of Technology,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
63,Mayank1991,Rochester Institute of Technology,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
64,Prashi96,Rochester Institute of Technology,Information Science,Fall 2020 ,Interested,N.A. ,ENG TEST,NA ,8.7 CGPA ,NA
65,sadvani,Rochester Institute of Technology,Information Science,Fall 2018 ,Interested,290,TOEFL,97,55%,30 months
66,lokesh2334,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,295,TOEFL,93,54%,41 months
67,sisirchinferno,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,308,TOEFL,100,6.47 CGPA ,38 months
68,Vidhyashree,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,299,TOEFL,101,9.1 CGPA ,14 months
69,Popopo,Rochester Institute of Technology,Information Science,Fall 2018 ,Interested,304,ENG TEST,NA ,8.5 CGPA ,24 months
70,Sahir003,Rochester Institute of Technology,Information Science,Fall 2018 ,Interested,314,ENG TEST,NA ,5.8 CGPA ,NA
71,Navyaa,Rochester Institute of Technology,Information Science,Fall 2018 ,Interested,285,ENG TEST,NA ,7.3 CGPA ,36 months
72,BhavaniK,Rochester Institute of Technology,Information Science,Fall 2018 ,Interested,N.A. ,TOEFL,110,8.02 CGPA ,22 months
73,rundhu,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,69.73%,NA
74,Rash05,Rochester Institute of Technology,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.8 CGPA ,44 months
75,AkashDwi,Rochester Institute of Technology,Information Science,Fall 2019 ,Interested,321,TOEFL,108,56.06%,7 months
76,Anki7760,Rochester Institute of Technology,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.4 CGPA ,18 months
77,CkB09,Rochester Institute of Technology,Information Science,Fall 2018 ,Interested,301,ENG TEST,NA ,7 CGPA ,NA
78,cvgj,Rochester Institute of Technology,Information Science,Spring 2019 ,Interested,303,ENG TEST,NA ,6.99 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Rishabhpanwar05,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Applied,329,TOEFL,110,7.4 CGPA ,4 months
2,Prakirn,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Applied,321,TOEFL,104,6.541 CGPA ,2 months
3,Tanvi2703,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Applied,302,TOEFL,104,6.15 CGPA ,5 months
4,kenil,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Applied,323,TOEFL,110,8.55 CGPA ,NA
5,hrithik,Rensselaer Polytechnic Institute,Management Information System,Fall 2017 ,Applied,312,TOEFL,91,7.22 CGPA ,30 months
6,SarveshT,Rensselaer Polytechnic Institute,Management Information System,Spring 2017 ,Applied,334,TOEFL,115,6.99 CGPA ,60 months
7,akshay-arora,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Applied,320,TOEFL,104,75%,30 months
8,priyanshi7,Rensselaer Polytechnic Institute,Management Information System,Spring 2016 ,Applied,328,TOEFL,117,8 CGPA ,NA
9,akashnahata,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Applied,318,TOEFL,106,8.1 CGPA ,30 months
11,hanamana,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Admit,318,TOEFL,111,6.68 CGPA ,6 months
12,prem23,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Admit,315,TOEFL,99,7.6 CGPA ,NA
13,jainpeeyush2017,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Admit,322,TOEFL,107,77%,60 months
14,anmol03,Rensselaer Polytechnic Institute,Management Information System,Fall 2017 ,Admit,327,TOEFL,104,7.28 CGPA ,9 months
15,amolkhade,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Admit,324,TOEFL,106,56%,NA
16,sandiep321,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Admit,317,IELTS,7,7.7 CGPA ,34 months
17,priyankad23,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Admit,315,TOEFL,107,7.71 CGPA ,NA
18,shraddhasubhedar,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Admit,320,TOEFL,113,8.14 CGPA ,NA
19,sagarkhasnis.stupidsid,Rensselaer Polytechnic Institute,Management Information System,"Fall 2013	 ",Admit,319,TOEFL,114,60%,30 months
20,tanveersachdeva.stupidsid,Rensselaer Polytechnic Institute,Management Information System,Fall 2013 ,Admit,322,TOEFL,110,65%,10 months
21,network.burner,Rensselaer Polytechnic Institute,Management Information System,Fall 2015 ,Admit,313,TOEFL,100,62%,10 months
22,ut0501,Rensselaer Polytechnic Institute,Management Information System,Fall 2015 ,Admit,321,TOEFL,113,7 CGPA ,12 months
24,vvega89,Rensselaer Polytechnic Institute,Management Information System,Fall 2017 ,Reject,317,IELTS,7.5,58.80%,50 months
25,sagarsingh244,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Reject,320,TOEFL,101,8.36 CGPA ,NA
26,vini54,Rensselaer Polytechnic Institute,Management Information System,Fall 2016 ,Reject,309,TOEFL,105,7.75 CGPA ,NA
28,vivekku9944,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
29,anuanuanuanu,Rensselaer Polytechnic Institute,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.4 CGPA ,NA
30,Apoorva171996,Rensselaer Polytechnic Institute,Management Information System,Spring 2019 ,Interested,302,TOEFL,100,71%,NA
31,kewalc,Rensselaer Polytechnic Institute,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
32,Prasad M,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,306,ENG TEST,NA ,63%,NA
33,Shreya0822,Rensselaer Polytechnic Institute,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,72.40%,67 months
34,SurajBongale,Rensselaer Polytechnic Institute,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,71%,25 months
35,dJ93,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,306,TOEFL,97,8.5 CGPA ,34 months
36,Sunikesh,Rensselaer Polytechnic Institute,Management Information System,Spring 2020 ,Interested,N.A. ,ENG TEST,NA ,6.1 CGPA ,NA
37,sandy2402nd,Rensselaer Polytechnic Institute,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.97 CGPA ,9 months
38,skondepudi,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,297,IELTS,7,6.87 CGPA ,32 months
39,hucha,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,69%,NA
40,SUNNY34897,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,6.5 CGPA ,NA
41,huchi,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,8.5 CGPA ,NA
42,Ankurchintu,Rensselaer Polytechnic Institute,Management Information System,Fall 2019 ,Interested,315,IELTS,7.5,60%,30 months
43,jazz1085,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,297,TOEFL,97,68%,87 months
44,HarshVC,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,300,IELTS,7,9.6 CGPA ,NA
45,Shashi1512,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,291,TOEFL,79,6.78 CGPA ,32 months
46,Akash Khyadi,Rensselaer Polytechnic Institute,Management Information System,Fall 2018 ,Interested,294,ENG TEST,NA ,6.9 CGPA ,30 months
47,shibs12,Rensselaer Polytechnic Institute,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,7.5 CGPA ,NA
,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
1,Dhruman,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Applied,N.A. ,TOEFL,112,8.04 CGPA ,3 months
2,adi333,Rutgers University-New Brunswick,Information Science,Fall 2017 ,Applied,296,TOEFL,105,68%,18 months
3,agrawal91,Rutgers University-New Brunswick,Information Science,Fall 2016 ,Applied,306,TOEFL,96,8.9 CGPA ,27 months
5,hrgupta,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Admit,310,TOEFL,107,7.39 CGPA ,14 months
6,Amol kolhe,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Admit,303,TOEFL,97,63%,37 months
7,Pratssawant,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Admit,294,TOEFL,86,74%,39 months
8,Dipti92,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Admit,301,TOEFL,88,8.6 CGPA ,55 months
9,Kameliya,Rutgers University-New Brunswick,Information Science,Fall 2017 ,Admit,300,TOEFL,98,7.76 CGPA ,NA
11,vatsal16,Rutgers University-New Brunswick,Information Science,Fall 2017 ,Reject,317,TOEFL,103,8.1 CGPA ,6 months
13,lpriya,Rutgers University-New Brunswick,Information Science,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,64.50%,NA
14,ashish.singh712,Rutgers University-New Brunswick,Information Science,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
15,Prachi-Jain,Rutgers University-New Brunswick,Information Science,Spring 2019 ,Interested,316,ENG TEST,NA ,7.8 CGPA ,37 months
16,vivekku9944,Rutgers University-New Brunswick,Information Science,Fall 2018 ,Interested,293,TOEFL,82,55%,22 months
17,kewalc,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,58%,NA
18,Mayank1991,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,67%,NA
19,divyangmehta96,Rutgers University-New Brunswick,Information Science,Fall 2019 ,Interested,320,ENG TEST,NA ,6 CGPA ,11 months
20,Prashi96,Rutgers University-New Brunswick,Information Science,Fall 2020 ,Interested,N.A. ,ENG TEST,NA ,8.7 CGPA ,NA
