,Name,University,Course,Year,Status,GRE_SCORE,Eng_test,Test_score,Undergrad_score,work_ex
39,AsadM,Arizona State University,Management Information System,Fall 2018 ,Admit,301,ENG TEST,NA ,65%,74 months
40,Abirami,Arizona State University,Management Information System,Fall 2018 ,Admit,305,IELTS,7.5,8.2 CGPA ,31 months
41,hanamana,Arizona State University,Management Information System,Fall 2018 ,Admit,318,TOEFL,111,6.68 CGPA ,6 months
43,shubhm,Arizona State University,Management Information System,Fall 2018 ,Reject,307,TOEFL,0,74%,15 months
44,Disha0701,Arizona State University,Management Information System,Fall 2018 ,Reject,308,TOEFL,84,68.50%,43 months
45,Rajpatil7,Arizona State University,Management Information System,Fall 2018 ,Reject,301,TOEFL,91,6.3 CGPA ,21 months
46,Rushikesh420,Arizona State University,Management Information System,Fall 2018 ,Reject,298,TOEFL,0,57.43%,6 months
47,Rohan14,Arizona State University,Management Information System,Fall 2018 ,Reject,310,TOEFL,96,68.68%,41 months
48,mragank,Arizona State University,Management Information System,Fall 2018 ,Reject,312,TOEFL,105,7.55 CGPA ,27 months
49,Dipti92,Arizona State University,Management Information System,Fall 2018 ,Reject,301,TOEFL,88,8.6 CGPA ,55 months
50,Michelle Pradeep,Arizona State University,Management Information System,Fall 2018 ,Reject,300,ENG TEST,NA ,63%,7 months
51,TrishaShekarC,Arizona State University,Management Information System,Fall 2018 ,Reject,303,TOEFL,90,67%,14 months
52,Dishasuyogi,Arizona State University,Management Information System,Fall 2018 ,Reject,308,TOEFL,84,68.94%,43 months
53,kappainho,Arizona State University,Management Information System,Fall 2018 ,Reject,305,TOEFL,98,53.63%,18 months
54,Setu04,Arizona State University,Management Information System,Fall 2018 ,Reject,308,TOEFL,102,7.09 CGPA ,NA
55,somguria,Arizona State University,Management Information System,Fall 2018 ,Reject,302,IELTS,7,8.4 CGPA ,41 months
56,ALI52,Arizona State University,Management Information System,Fall 2018 ,Reject,309,TOEFL,0,6.03 CGPA ,28 months
57,acegohan,Arizona State University,Management Information System,Fall 2018 ,Reject,303,TOEFL,89,65%,15 months
58,ThePanda1295,Arizona State University,Management Information System,Fall 2017 ,Reject,316,TOEFL,107,7.16 CGPA ,6 months
59,Tahemin,Arizona State University,Management Information System,Fall 2017 ,Reject,302,TOEFL,92,71.10%,35 months
60,anmolhanda,Arizona State University,Management Information System,Fall 2017 ,Reject,311,TOEFL,101,82.20%,18 months
61,nirali8007,Arizona State University,Management Information System,Fall 2017 ,Reject,308,TOEFL,86,8.1 CGPA ,14 months
62,aw9,Arizona State University,Management Information System,Fall 2017 ,Reject,299,TOEFL,97,59%,12 months
64,sagar_93,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,63.21%,35 months
65,Chaitra02,Arizona State University,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,55%,NA
66,Sheri27,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.04 CGPA ,NA
67,manthra16695,Arizona State University,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,6.69 CGPA ,18 months
68,prizzy,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,6.75 CGPA ,16 months
69,lalit_mohan,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.2 CGPA ,29 months
70,Sree19961996,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.1 CGPA ,NA
71,Nivaashini,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,9.37 CGPA ,NA
72,praanv,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,7.88 CGPA ,1 month
73,Arun Bajoji,Arizona State University,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,62%,NA
74,prasoons075,Arizona State University,Management Information System,Spring 2019 ,Interested,304,ENG TEST,NA ,74%,24 months
75,Aravi1996,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.08 CGPA ,NA
76,spoorthic,Arizona State University,Management Information System,Fall 2018 ,Interested,N.A. ,ENG TEST,NA ,9.5 CGPA ,36 months
77,malvikamgm,Arizona State University,Management Information System,Fall 2019 ,Interested,N.A. ,ENG TEST,NA ,8.5 CGPA ,NA
78,pav1993,Arizona State University,Management Information System,Fall 2019 ,Interested,310,TOEFL,0,8.98 CGPA ,35 months
79,Naman Rungta,Arizona State University,Management Information System,Spring 2019 ,Interested,N.A. ,ENG TEST,NA ,72%,27 months
